Date,Produced Energy (kWh),Specific Energy (kWh/kWp)
1/1/2019 0:00,0.0,0.0
1/1/2019 1:00,0.0,0.0
1/1/2019 2:00,0.0,0.0
1/1/2019 3:00,0.0,0.0
1/1/2019 4:00,0.0,0.0
1/1/2019 5:00,0.0,0.0
1/1/2019 6:00,0.0,0.0
1/1/2019 7:00,0.0,0.0
1/1/2019 8:00,0.0,0.0
1/1/2019 9:00,0.05,0.01
1/1/2019 10:00,1.11,0.16
1/1/2019 11:00,3.76,0.54
1/1/2019 12:00,4.35,0.62
1/1/2019 13:00,4.49,0.64
1/1/2019 14:00,4.25,0.61
1/1/2019 15:00,3.66,0.52
1/1/2019 16:00,2.7,0.39
1/1/2019 17:00,1.29,0.18
1/1/2019 18:00,0.02,0.0
1/1/2019 19:00,0.0,0.0
1/1/2019 20:00,0.0,0.0
1/1/2019 21:00,0.0,0.0
1/1/2019 22:00,0.0,0.0
1/1/2019 23:00,0.0,0.0
1/2/2019 0:00,0.0,0.0
1/2/2019 1:00,0.0,0.0
1/2/2019 2:00,0.0,0.0
1/2/2019 3:00,0.0,0.0
1/2/2019 4:00,0.0,0.0
1/2/2019 5:00,0.0,0.0
1/2/2019 6:00,0.0,0.0
1/2/2019 7:00,0.0,0.0
1/2/2019 8:00,0.0,0.0
1/2/2019 9:00,0.05,0.01
1/2/2019 10:00,1.13,0.16
1/2/2019 11:00,3.78,0.54
1/2/2019 12:00,4.37,0.62
1/2/2019 13:00,4.55,0.65
1/2/2019 14:00,4.26,0.61
1/2/2019 15:00,3.67,0.52
1/2/2019 16:00,2.67,0.38
1/2/2019 17:00,1.24,0.18
1/2/2019 18:00,0.03,0.0
1/2/2019 19:00,0.0,0.0
1/2/2019 20:00,0.0,0.0
1/2/2019 21:00,0.0,0.0
1/2/2019 22:00,0.0,0.0
1/2/2019 23:00,0.0,0.0
1/3/2019 0:00,0.0,0.0
1/3/2019 1:00,0.0,0.0
1/3/2019 2:00,0.0,0.0
1/3/2019 3:00,0.0,0.0
1/3/2019 4:00,0.0,0.0
1/3/2019 5:00,0.0,0.0
1/3/2019 6:00,0.0,0.0
1/3/2019 7:00,0.0,0.0
1/3/2019 8:00,0.0,0.0
1/3/2019 9:00,0.08,0.01
1/3/2019 10:00,0.6,0.09
1/3/2019 11:00,1.47,0.21
1/3/2019 12:00,1.75,0.25
1/3/2019 13:00,3.3,0.47
1/3/2019 14:00,2.39,0.34
1/3/2019 15:00,1.92,0.27
1/3/2019 16:00,1.65,0.24
1/3/2019 17:00,0.47,0.07
1/3/2019 18:00,0.01,0.0
1/3/2019 19:00,0.0,0.0
1/3/2019 20:00,0.0,0.0
1/3/2019 21:00,0.0,0.0
1/3/2019 22:00,0.0,0.0
1/3/2019 23:00,0.0,0.0
1/4/2019 0:00,0.0,0.0
1/4/2019 1:00,0.0,0.0
1/4/2019 2:00,0.0,0.0
1/4/2019 3:00,0.0,0.0
1/4/2019 4:00,0.0,0.0
1/4/2019 5:00,0.0,0.0
1/4/2019 6:00,0.0,0.0
1/4/2019 7:00,0.0,0.0
1/4/2019 8:00,0.0,0.0
