Date,Produced Energy (kWh),Specific Energy (kWh/kWp)
1/1/2019 0:00,0.0,0.0
1/1/2019 1:00,0.0,0.0
1/1/2019 2:00,0.0,0.0
1/1/2019 3:00,0.0,0.0
1/1/2019 4:00,0.0,0.0
1/1/2019 5:00,0.0,0.0
1/1/2019 6:00,0.0,0.0
1/1/2019 7:00,0.0,0.0
1/1/2019 8:00,0.0,0.0
1/1/2019 9:00,0.5,0.03
1/1/2019 10:00,1.0,0.06
1/1/2019 11:00,4.0,0.25
1/1/2019 12:00,7.75,0.47
1/1/2019 13:00,9.0,0.55
1/1/2019 14:00,9.0,0.55
1/1/2019 15:00,7.5,0.46
1/1/2019 16:00,5.5,0.34
1/1/2019 17:00,2.0,0.12
1/1/2019 18:00,0.0,0.0
1/1/2019 19:00,0.0,0.0
1/1/2019 20:00,0.0,0.0
1/1/2019 21:00,0.0,0.0
1/1/2019 22:00,0.0,0.0
1/1/2019 23:00,0.0,0.0
1/2/2019 0:00,0.0,0.0
1/2/2019 1:00,0.0,0.0
1/2/2019 2:00,0.0,0.0
1/2/2019 3:00,0.0,0.0
1/2/2019 4:00,0.0,0.0
1/2/2019 5:00,0.0,0.0
1/2/2019 6:00,0.0,0.0
1/2/2019 7:00,0.0,0.0
1/2/2019 8:00,0.0,0.0
1/2/2019 9:00,0.5,0.03
1/2/2019 10:00,0.75,0.05
1/2/2019 11:00,4.0,0.25
1/2/2019 12:00,7.75,0.47
1/2/2019 13:00,9.0,0.55
1/2/2019 14:00,9.25,0.57
1/2/2019 15:00,8.0,0.49
1/2/2019 16:00,5.5,0.34
1/2/2019 17:00,2.25,0.14
1/2/2019 18:00,0.0,0.0
1/2/2019 19:00,0.0,0.0
1/2/2019 20:00,0.0,0.0
1/2/2019 21:00,0.0,0.0
1/2/2019 22:00,0.0,0.0
1/2/2019 23:00,0.0,0.0
1/3/2019 0:00,0.0,0.0
1/3/2019 1:00,0.0,0.0
1/3/2019 2:00,0.0,0.0
1/3/2019 3:00,0.0,0.0
1/3/2019 4:00,0.0,0.0
1/3/2019 5:00,0.0,0.0
1/3/2019 6:00,0.0,0.0
1/3/2019 7:00,0.0,0.0
1/3/2019 8:00,0.0,0.0
1/3/2019 9:00,0.25,0.02
1/3/2019 10:00,1.25,0.08
1/3/2019 11:00,2.75,0.17
1/3/2019 12:00,2.75,0.17
1/3/2019 13:00,2.75,0.17
1/3/2019 14:00,4.25,0.26
1/3/2019 15:00,5.0,0.31
1/3/2019 16:00,4.0,0.25
1/3/2019 17:00,1.0,0.06
1/3/2019 18:00,0.0,0.0
1/3/2019 19:00,0.0,0.0
1/3/2019 20:00,0.0,0.0
1/3/2019 21:00,0.0,0.0
1/3/2019 22:00,0.0,0.0
1/3/2019 23:00,0.0,0.0
1/4/2019 0:00,0.0,0.0
1/4/2019 1:00,0.0,0.0
1/4/2019 2:00,0.0,0.0
1/4/2019 3:00,0.0,0.0
1/4/2019 4:00,0.0,0.0
1/4/2019 5:00,0.0,0.0
1/4/2019 6:00,0.0,0.0
1/4/2019 7:00,0.0,0.0
1/4/2019 8:00,0.0,0.0
