Date,Produced Energy (kWh),Specific Energy (kWh/kWp)
1/1/2019 0:00,0.0,0.0
1/1/2019 1:00,0.0,0.0
1/1/2019 2:00,0.0,0.0
1/1/2019 3:00,0.0,0.0
1/1/2019 4:00,0.0,0.0
1/1/2019 5:00,0.0,0.0
1/1/2019 6:00,0.0,0.0
1/1/2019 7:00,0.0,0.0
1/1/2019 8:00,0.0,0.0
1/1/2019 9:00,1.5,0.06
1/1/2019 10:00,6.5,0.28
1/1/2019 11:00,10.5,0.45
1/1/2019 12:00,13.25,0.56
1/1/2019 13:00,13.75,0.58
1/1/2019 14:00,13.5,0.57
1/1/2019 15:00,11.75,0.5
1/1/2019 16:00,8.25,0.35
1/1/2019 17:00,1.0,0.04
1/1/2019 18:00,0.0,0.0
1/1/2019 19:00,0.0,0.0
1/1/2019 20:00,0.0,0.0
1/1/2019 21:00,0.0,0.0
1/1/2019 22:00,0.0,0.0
1/1/2019 23:00,0.0,0.0
1/2/2019 0:00,0.0,0.0
1/2/2019 1:00,0.0,0.0
1/2/2019 2:00,0.0,0.0
1/2/2019 3:00,0.0,0.0
1/2/2019 4:00,0.0,0.0
1/2/2019 5:00,0.0,0.0
1/2/2019 6:00,0.0,0.0
1/2/2019 7:00,0.0,0.0
1/2/2019 8:00,0.0,0.0
1/2/2019 9:00,1.5,0.06
1/2/2019 10:00,6.25,0.27
1/2/2019 11:00,10.5,0.45
1/2/2019 12:00,12.75,0.54
1/2/2019 13:00,13.75,0.58
1/2/2019 14:00,13.25,0.56
1/2/2019 15:00,11.75,0.5
1/2/2019 16:00,8.25,0.35
1/2/2019 17:00,1.25,0.05
1/2/2019 18:00,0.0,0.0
1/2/2019 19:00,0.0,0.0
1/2/2019 20:00,0.0,0.0
1/2/2019 21:00,0.0,0.0
1/2/2019 22:00,0.0,0.0
1/2/2019 23:00,0.0,0.0
1/3/2019 0:00,0.0,0.0
1/3/2019 1:00,0.0,0.0
1/3/2019 2:00,0.0,0.0
1/3/2019 3:00,0.0,0.0
1/3/2019 4:00,0.0,0.0
1/3/2019 5:00,0.0,0.0
1/3/2019 6:00,0.0,0.0
1/3/2019 7:00,0.0,0.0
1/3/2019 8:00,0.0,0.0
1/3/2019 9:00,0.75,0.03
1/3/2019 10:00,2.0,0.09
1/3/2019 11:00,4.25,0.18
1/3/2019 12:00,13.25,0.56
1/3/2019 13:00,14.0,0.6
1/3/2019 14:00,13.5,0.57
1/3/2019 15:00,11.75,0.5
1/3/2019 16:00,8.25,0.35
1/3/2019 17:00,1.25,0.05
1/3/2019 18:00,0.0,0.0
1/3/2019 19:00,0.0,0.0
1/3/2019 20:00,0.0,0.0
1/3/2019 21:00,0.0,0.0
1/3/2019 22:00,0.0,0.0
1/3/2019 23:00,0.0,0.0
1/4/2019 0:00,0.0,0.0
1/4/2019 1:00,0.0,0.0
1/4/2019 2:00,0.0,0.0
1/4/2019 3:00,0.0,0.0
1/4/2019 4:00,0.0,0.0
1/4/2019 5:00,0.0,0.0
1/4/2019 6:00,0.0,0.0
1/4/2019 7:00,0.0,0.0
1/4/2019 8:00,0.0,0.0
