time,temperature(C),cloud_cover(pc),shortwave_radiation(W/m2)
01/01/19 12:00 AM,3.4,0,0
01/01/19 01:00 AM,2.8,0,0
01/01/19 02:00 AM,2.4,0,0
01/01/19 03:00 AM,2.2,0,0
01/01/19 04:00 AM,2.1,0,0
01/01/19 05:00 AM,2.1,0,0
01/01/19 06:00 AM,2.1,0,0
01/01/19 07:00 AM,2.3,0,0
01/01/19 08:00 AM,2.0,0,0
01/01/19 09:00 AM,4.5,0,44
01/01/19 10:00 AM,7.9,0,180
01/01/19 11:00 AM,11.4,0,309
01/01/19 12:00 PM,13.6,0,398
01/01/19 01:00 PM,14.8,0,432
01/01/19 02:00 PM,15.2,0,411
01/01/19 03:00 PM,14.7,0,335
01/01/19 04:00 PM,13.3,0,215
01/01/19 05:00 PM,12.0,0,75
01/01/19 06:00 PM,10.2,0,1
01/01/19 07:00 PM,9.2,0,0
01/01/19 08:00 PM,7.1,0,0
01/01/19 09:00 PM,5.2,1,0
01/01/19 10:00 PM,3.7,2,0
01/01/19 11:00 PM,3.0,2,0
01/02/19 12:00 AM,4.7,0,0
01/02/19 01:00 AM,5.3,0,0
01/02/19 02:00 AM,2.0,0,0
01/02/19 03:00 AM,1.2,0,0
01/02/19 04:00 AM,1.1,0,0
01/02/19 05:00 AM,1.2,0,0
01/02/19 06:00 AM,1.4,0,0
01/02/19 07:00 AM,1.1,0,0
01/02/19 08:00 AM,1.2,0,0
01/02/19 09:00 AM,4.0,0,44
01/02/19 10:00 AM,6.9,0,180
01/02/19 11:00 AM,10.1,0,309
01/02/19 12:00 PM,12.5,0,398
01/02/19 01:00 PM,14.0,0,434
01/02/19 02:00 PM,14.8,0,412
01/02/19 03:00 PM,15.0,0,336
01/02/19 04:00 PM,13.8,0,216
01/02/19 05:00 PM,13.1,0,76
01/02/19 06:00 PM,8.7,0,1
01/02/19 07:00 PM,6.3,0,0
01/02/19 08:00 PM,5.6,0,0
01/02/19 09:00 PM,5.4,0,0
01/02/19 10:00 PM,5.4,0,0
01/02/19 11:00 PM,5.3,0,0
01/03/19 12:00 AM,4.1,1,0
01/03/19 01:00 AM,5.5,1,0
01/03/19 02:00 AM,6.8,1,0
01/03/19 03:00 AM,7.1,2,0
01/03/19 04:00 AM,6.4,2,0
01/03/19 05:00 AM,5.3,1,0
01/03/19 06:00 AM,4.3,1,0
01/03/19 07:00 AM,4.3,2,0
01/03/19 08:00 AM,4.6,2,0
01/03/19 09:00 AM,5.8,1,44
01/03/19 10:00 AM,8.2,1,182
01/03/19 11:00 AM,10.1,1,311
01/03/19 12:00 PM,11.5,0,400
01/03/19 01:00 PM,12.4,0,435
01/03/19 02:00 PM,13.0,0,414
01/03/19 03:00 PM,13.3,0,340
01/03/19 04:00 PM,12.4,0,220
01/03/19 05:00 PM,8.7,0,79
01/03/19 06:00 PM,6.1,0,1
01/03/19 07:00 PM,5.0,0,0
01/03/19 08:00 PM,4.3,0,0
01/03/19 09:00 PM,3.2,0,0
01/03/19 10:00 PM,3.2,0,0
01/03/19 11:00 PM,3.5,0,0
01/04/19 12:00 AM,4.3,0,0
01/04/19 01:00 AM,4.4,0,0
01/04/19 02:00 AM,3.9,0,0
01/04/19 03:00 AM,3.1,0,0
01/04/19 04:00 AM,2.5,0,0
01/04/19 05:00 AM,2.4,1,0
01/04/19 06:00 AM,2.2,1,0
01/04/19 07:00 AM,2.1,0,0
01/04/19 08:00 AM,2.1,0,0
01/04/19 09:00 AM,3.7,0,44
01/04/19 10:00 AM,6.9,1,182
01/04/19 11:00 AM,9.8,2,311
01/04/19 12:00 PM,11.7,3,401
01/04/19 01:00 PM,12.8,7,437
01/04/19 02:00 PM,13.4,8,416
01/04/19 03:00 PM,13.6,10,339
01/04/19 04:00 PM,12.8,7,219
01/04/19 05:00 PM,12.4,1,80
01/04/19 06:00 PM,10.1,1,2
01/04/19 07:00 PM,5.1,2,0
01/04/19 08:00 PM,3.5,2,0
01/04/19 09:00 PM,2.4,0,0
01/04/19 10:00 PM,1.5,0,0
01/04/19 11:00 PM,0.9,0,0
01/05/19 12:00 AM,0.8,0,0
01/05/19 01:00 AM,0.9,0,0
01/05/19 02:00 AM,0.7,0,0
01/05/19 03:00 AM,0.3,0,0
01/05/19 04:00 AM,-0.2,0,0
01/05/19 05:00 AM,-0.7,0,0
01/05/19 06:00 AM,-1.0,0,0
01/05/19 07:00 AM,-1.2,0,0
01/05/19 08:00 AM,-0.9,0,0
01/05/19 09:00 AM,1.6,0,46
01/05/19 10:00 AM,5.6,0,189
01/05/19 11:00 AM,9.2,0,322
01/05/19 12:00 PM,11.8,0,414
01/05/19 01:00 PM,13.2,0,449
01/05/19 02:00 PM,13.9,0,428
01/05/19 03:00 PM,13.7,0,352
01/05/19 04:00 PM,12.4,0,230
01/05/19 05:00 PM,11.1,0,86
01/05/19 06:00 PM,9.3,0,2
01/05/19 07:00 PM,4.5,0,0
01/05/19 08:00 PM,3.0,0,0
01/05/19 09:00 PM,1.8,0,0
01/05/19 10:00 PM,1.3,0,0
01/05/19 11:00 PM,1.5,0,0
01/06/19 12:00 AM,1.7,0,0
01/06/19 01:00 AM,1.7,0,0
01/06/19 02:00 AM,1.4,0,0
01/06/19 03:00 AM,1.2,0,0
01/06/19 04:00 AM,1.1,0,0
01/06/19 05:00 AM,0.8,0,0
01/06/19 06:00 AM,0.6,0,0
01/06/19 07:00 AM,0.7,0,0
01/06/19 08:00 AM,0.8,0,0
01/06/19 09:00 AM,2.4,0,46
01/06/19 10:00 AM,6.1,0,189
01/06/19 11:00 AM,10.0,0,322
01/06/19 12:00 PM,12.8,0,415
01/06/19 01:00 PM,14.3,0,451
01/06/19 02:00 PM,15.2,0,431
01/06/19 03:00 PM,15.3,0,355
01/06/19 04:00 PM,13.8,0,234
01/06/19 05:00 PM,8.6,0,89
01/06/19 06:00 PM,6.4,0,2
01/06/19 07:00 PM,5.2,0,0
01/06/19 08:00 PM,3.7,0,0
01/06/19 09:00 PM,2.6,0,0
01/06/19 10:00 PM,1.9,0,0
01/06/19 11:00 PM,1.3,0,0
