time,temperature(C),cloud_cover(pc),shortwave_radiation(W/m2)
01/01/19 12:00 AM,12.2,7,0
01/01/19 01:00 AM,12.3,3,0
01/01/19 02:00 AM,11.9,1,0
01/01/19 03:00 AM,11.4,4,0
01/01/19 04:00 AM,11.1,17,0
01/01/19 05:00 AM,10.9,26,0
01/01/19 06:00 AM,10.9,15,0
01/01/19 07:00 AM,10.9,19,0
01/01/19 08:00 AM,11.0,17,1
01/01/19 09:00 AM,12.7,9,80
01/01/19 10:00 AM,14.6,0,235
01/01/19 11:00 AM,15.8,7,376
01/01/19 12:00 PM,16.1,0,466
01/01/19 01:00 PM,16.4,0,504
01/01/19 02:00 PM,16.5,0,478
01/01/19 03:00 PM,16.3,0,395
01/01/19 04:00 PM,16.0,0,263
01/01/19 05:00 PM,14.5,0,107
01/01/19 06:00 PM,13.3,0,5
01/01/19 07:00 PM,11.7,0,0
01/01/19 08:00 PM,11.1,0,0
01/01/19 09:00 PM,10.1,4,0
01/01/19 10:00 PM,9.0,13,0
01/01/19 11:00 PM,8.2,14,0
01/02/19 12:00 AM,8.0,0,0
01/02/19 01:00 AM,8.1,0,0
01/02/19 02:00 AM,7.8,0,0
01/02/19 03:00 AM,7.7,0,0
01/02/19 04:00 AM,7.6,0,0
01/02/19 05:00 AM,8.2,0,0
01/02/19 06:00 AM,8.6,0,0
01/02/19 07:00 AM,7.5,0,0
01/02/19 08:00 AM,7.3,0,1
01/02/19 09:00 AM,11.2,0,85
01/02/19 10:00 AM,14.1,0,242
01/02/19 11:00 AM,16.0,0,381
01/02/19 12:00 PM,17.3,0,474
01/02/19 01:00 PM,17.7,0,509
01/02/19 02:00 PM,17.4,0,484
01/02/19 03:00 PM,17.0,0,401
01/02/19 04:00 PM,16.2,0,268
01/02/19 05:00 PM,15.0,0,110
01/02/19 06:00 PM,13.7,0,6
01/02/19 07:00 PM,11.5,0,0
01/02/19 08:00 PM,12.9,0,0
01/02/19 09:00 PM,12.7,0,0
01/02/19 10:00 PM,12.1,0,0
01/02/19 11:00 PM,10.6,0,0
01/03/19 12:00 AM,7.0,0,0
01/03/19 01:00 AM,7.8,0,0
01/03/19 02:00 AM,8.3,0,0
01/03/19 03:00 AM,7.8,0,0
01/03/19 04:00 AM,7.9,0,0
01/03/19 05:00 AM,7.7,1,0
01/03/19 06:00 AM,7.0,1,0
01/03/19 07:00 AM,7.7,5,0
01/03/19 08:00 AM,8.5,8,1
01/03/19 09:00 AM,9.7,17,83
01/03/19 10:00 AM,11.1,0,242
01/03/19 11:00 AM,12.0,0,384
01/03/19 12:00 PM,12.0,51,477
01/03/19 01:00 PM,12.9,60,398
01/03/19 02:00 PM,13.9,40,389
01/03/19 03:00 PM,14.4,69,320
01/03/19 04:00 PM,14.3,60,212
01/03/19 05:00 PM,13.5,90,81
01/03/19 06:00 PM,13.4,69,3
01/03/19 07:00 PM,13.0,54,0
01/03/19 08:00 PM,14.0,52,0
01/03/19 09:00 PM,14.3,29,0
01/03/19 10:00 PM,14.5,35,0
01/03/19 11:00 PM,14.2,59,0
01/04/19 12:00 AM,14.5,74,0
01/04/19 01:00 AM,14.2,46,0
01/04/19 02:00 AM,14.1,17,0
01/04/19 03:00 AM,13.5,6,0
01/04/19 04:00 AM,12.6,5,0
01/04/19 05:00 AM,11.8,88,0
01/04/19 06:00 AM,11.8,18,0
01/04/19 07:00 AM,10.9,2,0
01/04/19 08:00 AM,10.3,1,1
01/04/19 09:00 AM,11.1,1,81
01/04/19 10:00 AM,12.3,1,236
01/04/19 11:00 AM,13.5,0,375
01/04/19 12:00 PM,15.2,0,468
01/04/19 01:00 PM,15.6,9,506
01/04/19 02:00 PM,15.7,11,482
01/04/19 03:00 PM,15.5,18,400
01/04/19 04:00 PM,15.0,15,269
01/04/19 05:00 PM,13.8,6,114
01/04/19 06:00 PM,12.7,25,7
01/04/19 07:00 PM,12.1,25,0
01/04/19 08:00 PM,11.9,15,0
01/04/19 09:00 PM,11.6,2,0
01/04/19 10:00 PM,11.2,0,0
01/04/19 11:00 PM,11.0,0,0
01/05/19 12:00 AM,11.1,0,0
01/05/19 01:00 AM,11.0,0,0
01/05/19 02:00 AM,10.8,0,0
01/05/19 03:00 AM,10.5,0,0
01/05/19 04:00 AM,10.2,0,0
01/05/19 05:00 AM,9.9,0,0
01/05/19 06:00 AM,10.0,0,0
01/05/19 07:00 AM,10.0,0,0
01/05/19 08:00 AM,9.9,0,1
01/05/19 09:00 AM,11.1,0,84
01/05/19 10:00 AM,12.5,0,244
01/05/19 11:00 AM,13.6,0,385
01/05/19 12:00 PM,14.1,0,481
01/05/19 01:00 PM,14.8,0,519
01/05/19 02:00 PM,15.2,0,496
01/05/19 03:00 PM,15.1,0,413
01/05/19 04:00 PM,14.5,0,281
01/05/19 05:00 PM,13.2,0,121
01/05/19 06:00 PM,12.0,0,8
01/05/19 07:00 PM,11.2,0,0
01/05/19 08:00 PM,10.7,0,0
01/05/19 09:00 PM,10.4,0,0
01/05/19 10:00 PM,10.5,0,0
01/05/19 11:00 PM,10.4,0,0
01/06/19 12:00 AM,10.5,0,0
01/06/19 01:00 AM,10.3,0,0
01/06/19 02:00 AM,10.0,0,0
01/06/19 03:00 AM,9.7,0,0
01/06/19 04:00 AM,8.6,0,0
01/06/19 05:00 AM,7.4,0,0
01/06/19 06:00 AM,6.7,0,0
01/06/19 07:00 AM,5.9,0,0
01/06/19 08:00 AM,6.5,0,1
01/06/19 09:00 AM,10.0,0,86
01/06/19 10:00 AM,13.6,0,248
01/06/19 11:00 AM,15.2,0,390
01/06/19 12:00 PM,16.0,0,486
01/06/19 01:00 PM,16.6,0,523
