time,temperature(C),cloud_cover(pc),shortwave_radiation(W/m2)
01/01/19 12:00 AM,9.8,0,0
01/01/19 01:00 AM,9.1,0,0
01/01/19 02:00 AM,8.8,0,0
01/01/19 03:00 AM,8.5,0,0
01/01/19 04:00 AM,8.3,0,0
01/01/19 05:00 AM,8.0,0,0
01/01/19 06:00 AM,7.7,0,0
01/01/19 07:00 AM,7.4,0,0
01/01/19 08:00 AM,7.3,1,0
01/01/19 09:00 AM,8.5,21,57
01/01/19 10:00 AM,9.7,17,202
01/01/19 11:00 AM,10.8,13,336
01/01/19 12:00 PM,11.9,0,430
01/01/19 01:00 PM,12.9,0,475
01/01/19 02:00 PM,13.7,0,456
01/01/19 03:00 PM,14.2,0,379
01/01/19 04:00 PM,13.9,0,254
01/01/19 05:00 PM,10.8,0,105
01/01/19 06:00 PM,12.1,0,5
01/01/19 07:00 PM,11.2,0,0
01/01/19 08:00 PM,7.0,0,0
01/01/19 09:00 PM,6.4,0,0
01/01/19 10:00 PM,6.3,0,0
01/01/19 11:00 PM,6.3,0,0
01/02/19 12:00 AM,8.0,0,0
01/02/19 01:00 AM,7.5,0,0
01/02/19 02:00 AM,7.1,0,0
01/02/19 03:00 AM,7.3,0,0
01/02/19 04:00 AM,7.5,0,0
01/02/19 05:00 AM,7.1,0,0
01/02/19 06:00 AM,6.2,0,0
01/02/19 07:00 AM,6.0,0,0
01/02/19 08:00 AM,8.2,0,0
01/02/19 09:00 AM,8.6,0,59
01/02/19 10:00 AM,11.7,1,212
01/02/19 11:00 AM,13.4,4,347
01/02/19 12:00 PM,14.4,4,427
01/02/19 01:00 PM,15.1,4,453
01/02/19 02:00 PM,15.4,1,444
01/02/19 03:00 PM,15.1,1,381
01/02/19 04:00 PM,14.2,0,259
01/02/19 05:00 PM,11.5,0,109
01/02/19 06:00 PM,8.4,0,6
01/02/19 07:00 PM,7.4,0,0
01/02/19 08:00 PM,7.1,0,0
01/02/19 09:00 PM,7.1,0,0
01/02/19 10:00 PM,7.6,0,0
01/02/19 11:00 PM,8.0,0,0
01/03/19 12:00 AM,8.1,0,0
01/03/19 01:00 AM,8.1,0,0
01/03/19 02:00 AM,8.0,1,0
01/03/19 03:00 AM,6.0,3,0
01/03/19 04:00 AM,6.1,11,0
01/03/19 05:00 AM,6.7,83,0
01/03/19 06:00 AM,6.1,40,0
01/03/19 07:00 AM,5.5,32,0
01/03/19 08:00 AM,5.1,38,0
01/03/19 09:00 AM,5.6,52,52
01/03/19 10:00 AM,6.1,90,174
01/03/19 11:00 AM,6.6,90,271
01/03/19 12:00 PM,7.1,90,394
01/03/19 01:00 PM,8.1,90,396
01/03/19 02:00 PM,8.8,38,392
01/03/19 03:00 PM,9.5,0,345
01/03/19 04:00 PM,9.6,0,244
01/03/19 05:00 PM,8.3,0,102
01/03/19 06:00 PM,6.9,0,6
01/03/19 07:00 PM,8.3,0,0
01/03/19 08:00 PM,8.4,0,0
01/03/19 09:00 PM,8.4,1,0
01/03/19 10:00 PM,8.7,1,0
01/03/19 11:00 PM,8.4,4,0
01/04/19 12:00 AM,6.6,4,0
01/04/19 01:00 AM,4.8,90,0
01/04/19 02:00 AM,5.8,53,0
01/04/19 03:00 AM,7.3,51,0
01/04/19 04:00 AM,7.0,86,0
01/04/19 05:00 AM,6.7,86,0
01/04/19 06:00 AM,6.6,61,0
01/04/19 07:00 AM,6.8,46,0
01/04/19 08:00 AM,7.2,41,0
01/04/19 09:00 AM,8.3,47,43
01/04/19 10:00 AM,9.4,93,153
01/04/19 11:00 AM,10.5,41,268
01/04/19 12:00 PM,10.9,52,359
01/04/19 01:00 PM,11.9,32,385
01/04/19 02:00 PM,12.6,34,407
01/04/19 03:00 PM,13.1,38,362
01/04/19 04:00 PM,13.1,35,241
01/04/19 05:00 PM,11.1,34,94
